class_id,class_name,support,predicted,precision,recall,f1
0,Pick up kettle,0,43,0.0,0.0,0.0
1,Position kettle to pour,0,11,0.0,0.0,0.0
2,Move kettle,0,17,0.0,0.0,0.0
3,Hold coffee carafe,0,1,0.0,0.0,0.0
4,Grasp coffee scoop,0,9,0.0,0.0,0.0
5,Transfer coffee to dripper,0,7,0.0,0.0,0.0
6,Hold gooseneck kettle,0,63,0.0,0.0,0.0
7,Grasp gooseneck kettle,0,3,0.0,0.0,0.0
8,Lift gooseneck kettle,0,0,0.0,0.0,0.0
9,Move kettle away,0,0,0.0,0.0,0.0
10,Place kettle on table,0,23,0.0,0.0,0.0
11,Pick up white bottle,0,25,0.0,0.0,0.0
12,Pour liquid from white bottle,0,120,0.0,0.0,0.0
13,Close bottle cap,60,26,0.34615384615384615,0.15,0.20930232558139533
14,Place item on table,24,0,0.0,0.0,0.0
15,Wait/Prepare for pouring,96,0,0.0,0.0,0.0
16,Pour coffee,160,0,0.0,0.0,0.0
17,Pour milk into coffee,8,0,0.0,0.0,0.0
