true\pred,Pick up and position kettle,Position kettle to pour,Move kettle,Prepare coffee equipment and scoop grounds,Transfer coffee grounds to dripper,Secure coffee container,Handle gooseneck kettle,Lift gooseneck kettle,Set down kettle and retrieve white bottle,Pour and close white bottle,Move bottle to coffee equipment,Prepare for pouring,Pour coffee,Pour milk into coffee
Pick up and position kettle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Position kettle to pour,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Move kettle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prepare coffee equipment and scoop grounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transfer coffee grounds to dripper,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Secure coffee container,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Handle gooseneck kettle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lift gooseneck kettle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Set down kettle and retrieve white bottle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pour and close white bottle,28,0,0,0,0,0,0,3,14,12,0,0,0,0
Move bottle to coffee equipment,0,0,0,0,0,0,0,4,3,0,0,0,0,0
Prepare for pouring,2,0,6,0,0,5,58,17,21,6,1,3,0,0
Pour coffee,13,2,5,7,8,7,0,0,16,87,0,0,5,1
Pour milk into coffee,0,0,0,0,0,0,0,0,0,10,0,0,0,0
