family,samples,action_exact_rate,seen_share,contact_exact_rate,transition_exact_rate
manipulate_adjust,98,0.030612244897959183,0.22448979591836735,0.7959183673469388,1.0
reach_grasp_release,88,0.011363636363636364,0.45454545454545453,0.7954545454545454,0.9318181818181818
other_fine_action,73,0.0,0.2465753424657534,0.7945205479452054,0.9726027397260274
place_arrange_align,65,0.03076923076923077,0.26153846153846155,0.5384615384615384,0.9692307692307692
sort_count_organize,36,0.0,0.1388888888888889,0.6388888888888888,1.0
tool_cut_mark_write,28,0.25,0.6428571428571429,1.0,1.0
inspect_observe_use,27,0.0,0.37037037037037035,0.6666666666666666,0.9629629629629629
locomotion,27,0.0,0.037037037037037035,0.48148148148148145,1.0
clean_cook,6,0.16666666666666666,0.0,0.6666666666666666,0.8333333333333334
