task,display_name,priority,simple_status,simple_primary_metric,simple_primary_score,neural_status,neural_primary_score,num_classes,unseen_test_class_count,bottleneck,next_action
next_action,Next-Action Prediction,highest,pass,macro_f1,0.00019966057701906761,pass,0.0,1184,145,fine-grained label explosion and held-out unseen labels,add hierarchical action/subtask families plus label-normalized scoring
timeline_action,Action Recognition,highest,pass,macro_f1,0.00017511601435951318,pass,0.0,1187,144,fine-grained label explosion and held-out unseen labels,add hierarchical action/subtask families plus label-normalized scoring
timeline_subtask,Procedure Step Recognition,highest,pass,macro_f1,0.0,pass,0.0,850,113,fine-grained label explosion and held-out unseen labels,add hierarchical action/subtask families plus label-normalized scoring
cross_modal_retrieval,Cross-Modal Retrieval,high,unsupported_without_raw_128_feature_blocks,mrr,,not_run,,,,missing raw 128-episode feature blocks,export compact raw-feature shards for this task before model comparison
hand_trajectory_forecast,Hand Trajectory Forecasting,high,unsupported_without_raw_128_feature_blocks,mpjpe,,not_run,,,,missing raw 128-episode feature blocks,export compact raw-feature shards for this task before model comparison
misalignment_detection,Multimodal Synchronization Detection,high,unsupported_without_raw_128_feature_blocks,f1,,not_run,,,,missing raw 128-episode feature blocks,export compact raw-feature shards for this task before model comparison
modality_reconstruction,Cross-Modal Reconstruction,high,unsupported_without_raw_128_feature_blocks,r2,,not_run,,,,missing raw 128-episode feature blocks,export compact raw-feature shards for this task before model comparison
caption_grounding,Language Grounding,medium,pass,mrr,0.012785504572093487,not_run,,,,weak public-safe metadata/text baseline,add dense windows and stronger fusion baselines before interpreting model quality
contact_prediction,Contact State Prediction,medium,pass,macro_f1,0.5167950693374422,pass,0.21951219512195122,2,0,usable control task,keep as sanity/control metric for future dense-window and model runs
object_relevance,Object Relevance Prediction,medium,pass,micro_f1,0.18221614227086183,pass,0.1053878034339846,,,"moderate task signal, still needs robustness split",add session/task-family slices and bootstrap confidence intervals
temporal_order,Temporal Order Verification,medium,pass,f1,0.32713178294573647,not_run,,2,,usable control task,keep as sanity/control metric for future dense-window and model runs
transition_detection,Action Boundary Detection,medium,pass,macro_f1,0.5219803670507895,pass,0.45822172492907925,2,0,usable control task,keep as sanity/control metric for future dense-window and model runs
